tsne_1,tsne_2,pca_1,pca_2,simplified_label,original_label
-10.417185,2.5311272,-4.599430249934947,-0.9241896003614904,tip,finger tip
-10.859583,2.1440108,-5.282193929840602,-0.15496086156914574,tip,finger tip
-7.5281677,-1.2544026,-4.727976474083208,-0.0825345158277401,tip,finger tip
-6.5204887,1.4334695,-4.867832368858954,0.09132291378440673,tip,finger tip
-6.0174694,-1.2540199,-5.356679511537954,-0.0956825512572464,tip,finger tip
-6.2995076,0.54242265,-5.6250911310733285,-0.7844503876927122,tip,finger tip
-7.479019,-0.6597435,-5.0247059624189845,0.7995689501283566,tip,finger tip
-5.467718,1.0383481,-5.766039917456296,0.16589673909349434,tip,finger tip
-9.130558,-0.13027982,-4.832536601643774,0.17185618413440779,tip,finger tip
-6.2604256,-0.9455118,-5.8250101461362025,-0.6051797006443315,tip,finger tip
-5.8386745,1.2097032,-4.7925748811232065,1.0024459983319958,tip,finger tip
-10.894474,2.1362264,-4.631350829676322,-1.5406902414179129,tip,finger tip
-7.0828605,0.9073574,-5.134127455809017,-0.29017768054694787,tip,finger tip
-10.1094675,2.699106,-5.04150079611652,-0.14186189792203027,tip,finger tip
-5.877319,-0.70323056,-5.995648218500467,-1.6686672308384225,tip,finger tip
-7.679255,0.7022537,-4.642003574671834,0.38646277479898034,tip,finger tip
-5.649663,0.20705032,-5.608495768900761,-0.2997384586302304,tip,finger tip
-5.8355284,-0.19432528,-5.680876883174067,0.09605168795699759,tip,finger tip
-7.6275043,1.6671497,-4.98533857080397,-0.7518534769127748,tip,finger tip
-6.795647,-0.01898348,-5.237439646165206,-0.12021032156142661,tip,finger tip
-10.970542,2.0236838,-5.086810512389608,-0.9198439460269275,tip,finger tip
-8.7273035,-0.7415993,-4.598038051834403,1.7630391838756858,tip,finger tip
-6.488194,1.731119,-5.022085284038435,0.3964411710274832,tip,finger tip
-6.7062182,0.36469236,-5.147061564216774,0.4034163300115736,tip,finger tip
