n_features,accuracy,accuracy_std,selected_features
1,0.865,0.04636809247747853,resonance_high_ratio
2,0.975,0.02738612787525829,"resonance_high_ratio, high_energy_ratio"
3,0.9800000000000001,0.029154759474226483,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio"
4,0.9800000000000001,0.029154759474226483,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio"
5,0.9800000000000001,0.029154759474226483,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio"
6,0.97,0.03674234614174766,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio"
7,0.97,0.03674234614174766,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio"
8,0.9800000000000001,0.029154759474226483,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio"
9,0.975,0.02738612787525829,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min"
10,0.985,0.02999999999999998,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid"
11,0.985,0.02999999999999998,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid, time_to_peak"
12,0.9800000000000001,0.029154759474226483,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid, time_to_peak, spectral_centroid"
13,0.9800000000000001,0.029154759474226483,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid, time_to_peak, spectral_centroid, resonance_peak_freq"
14,0.9800000000000001,0.029154759474226483,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid, time_to_peak, spectral_centroid, resonance_peak_freq, spectral_contrast_3"
15,0.9800000000000001,0.029154759474226483,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid, time_to_peak, spectral_centroid, resonance_peak_freq, spectral_contrast_3, high_freq_decay_rate"
16,0.985,0.02999999999999998,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid, time_to_peak, spectral_centroid, resonance_peak_freq, spectral_contrast_3, high_freq_decay_rate, env_mean"
17,0.985,0.02999999999999998,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid, time_to_peak, spectral_centroid, resonance_peak_freq, spectral_contrast_3, high_freq_decay_rate, env_mean, spectral_contrast_4"
18,0.9800000000000001,0.029154759474226483,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid, time_to_peak, spectral_centroid, resonance_peak_freq, spectral_contrast_3, high_freq_decay_rate, env_mean, spectral_contrast_4, spectral_contrast_1"
19,0.985,0.02999999999999998,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid, time_to_peak, spectral_centroid, resonance_peak_freq, spectral_contrast_3, high_freq_decay_rate, env_mean, spectral_contrast_4, spectral_contrast_1, env_std"
20,0.985,0.02999999999999998,"resonance_high_ratio, high_energy_ratio, ultra_high_energy_ratio, low_mid_ratio, low_energy_ratio, mid_energy_ratio, damping_ratio, ultra_high_ratio, env_min, temporal_centroid, time_to_peak, spectral_centroid, resonance_peak_freq, spectral_contrast_3, high_freq_decay_rate, env_mean, spectral_contrast_4, spectral_contrast_1, env_std, env_kurtosis"
