feature_index,gradient_saliency,integrated_gradients,gradient_std,integrated_gradients_std,feature_name
0,0.56149346,0.30360493,0.25713065,0.16199955,spectral_centroid
1,0.15243994,0.087370835,0.16531321,0.07839581,spectral_bandwidth
2,0.07654716,0.0,0.046426546,0.0,spectral_rolloff
3,0.3791018,0.22004767,0.36945987,0.17136921,spectral_flatness
4,0.20788714,0.078756474,0.16402438,0.100350104,spectral_contrast_0
5,0.27065182,0.16214386,0.30232087,0.22476016,spectral_contrast_1
6,0.23846486,0.11894274,0.18262732,0.1123429,spectral_contrast_2
7,0.16818807,0.15601413,0.11443757,0.3233217,spectral_contrast_3
8,0.3912988,0.3491315,0.2972307,0.2895446,spectral_contrast_4
9,0.18739913,0.09875744,0.11831478,0.083567865,resonance_peak_amp
10,0.27898735,0.16587655,0.26133013,0.10679077,resonance_peak_freq
11,0.22037557,0.10967314,0.16534472,0.12106518,resonance_energy
12,0.23405668,0.15136954,0.14265269,0.123902515,resonance_q_factor
13,0.18368879,0.13937816,0.20613897,0.11301439,resonance_skewness
14,0.8407334,0.49617368,0.48336622,0.38031873,damping_ratio
15,0.42097387,0.08339822,0.23467752,0.05684275,high_freq_slope
16,0.44327983,0.12659812,0.33213323,0.09859296,high_freq_decay_rate
17,0.90922576,0.5461929,0.52661675,0.38783187,ultra_high_ratio
18,0.23768213,0.10728741,0.20145598,0.1016385,burst_rms
19,0.26413918,0.121068895,0.19694611,0.15788884,burst_peak
20,0.29177445,0.14589985,0.2070241,0.0928723,burst_crest_factor
21,0.56850827,0.40265903,0.50234765,0.20816424,time_to_peak
22,0.21863702,0.17928988,0.19171952,0.17092755,zero_crossing_rate
23,0.75491863,0.45181102,0.5689492,0.30438885,temporal_centroid
24,0.47210345,0.21332586,0.3251024,0.1967368,env_mean
25,0.31758782,0.18094543,0.18017212,0.18692921,env_std
26,0.2518246,0.16823485,0.16051029,0.076815255,env_max
27,0.5691898,0.49047843,0.3013547,0.3881243,env_min
28,0.30793554,0.19014141,0.09684285,0.13611256,env_skew
29,0.3349811,0.058388155,0.22094499,0.035830405,env_kurtosis
30,0.31861588,0.17771086,0.08163794,0.0938852,env_decay_rate
31,0.8580227,0.30687863,0.37368107,0.16218597,low_energy_ratio
32,0.32116127,0.093127534,0.17252794,0.094743215,resonance_energy_ratio
33,0.9407727,0.5564822,0.5087356,0.3820247,mid_energy_ratio
34,1.0067236,0.59744084,0.58708507,0.40619355,high_energy_ratio
35,0.84814465,0.49173194,0.5285087,0.3941325,ultra_high_energy_ratio
36,1.1926872,0.8200401,0.7717525,0.5190411,resonance_high_ratio
37,1.4167284,0.86991274,0.8082317,0.6020701,low_mid_ratio
