point_index,timestamp,x_target,y_target,z_target,x,y,z,normalized_x,normalized_y,original_label,relabeled_label,acoustic_filename,workspace_id,object_type,source_dataset,filename,label
23,1765900155.2205973,0.5805036044082957,0.162478448982303,0.1799861405101327,0.5809359315717845,0.1624919412020949,0.1801903165996165,0.9956767283651128,0.9001349221979194,edge,edge,./data/0_edge.wav,WS3,B_empty,data/collected_data_runs_2025_12_16_v3_proper_data_to_use,0_edge.wav,edge
51,1765903613.136501,0.6693924932971846,0.132478448982303,0.1799861405101327,0.6698097274549348,0.1324923741394398,0.1804616350492843,0.1069387695336088,0.6001392515713683,edge,edge,./data/1_edge.wav,WS3,B_empty,data/collected_data_runs_2025_12_16_v3_proper_data_to_use,1_edge.wav,edge
41,1765817029.9598527,0.6518739368416718,0.139532894865818,0.1910258971613568,0.6518841995620084,0.1393340583007,0.1904099588504721,0.3332307061299678,0.6980116343488204,no_contact,no_contact,./data/2_no_contact.wav,WS3,A_cutout,data/collected_data_runs_2025_12_15_v2_2_workspace3_squares_cutout_relabeled,2_no_contact.wav,no_contact
42,1765995028.9766176,0.6360591599638513,0.142478448982303,0.1799861405101327,0.6364270071642674,0.142475437501368,0.1801788501548688,0.4407659724402836,0.6999698851906507,edge,edge,./data/3_edge.wav,WS3,C_full,data/collected_data_runs_2025_12_17_v2_workspace_3_squares_cutout_relabeled,3_edge.wav,edge
105,1765821810.197065,0.6074294923972274,0.0895328948658179,0.1910258971613568,0.6075148321688946,0.0892533884189624,0.1906183415303723,0.7769243800611061,0.1972049355314445,no_contact,no_contact,./data/4_no_contact.wav,WS3,A_cutout,data/collected_data_runs_2025_12_15_v2_2_workspace3_squares_cutout_relabeled,4_no_contact.wav,no_contact
16,1765900490.503743,0.6582813821860735,0.162478448982303,0.1799861405101327,0.6587052576207038,0.1623936675901433,0.180256242846151,0.2179834678759196,0.8991521860784032,contact,contact,./data/5_contact.wav,WS3,B_empty,data/collected_data_runs_2025_12_16_v3_proper_data_to_use,5_contact.wav,contact
113,1765821901.2653213,0.6518739368416718,0.0795328948658179,0.1910258971613568,0.651966543995879,0.0793323548422921,0.1907273361184753,0.3324072617912611,0.0979945997647419,contact,contact,./data/6_contact.wav,WS3,A_cutout,data/collected_data_runs_2025_12_15_v2_2_workspace3_squares_cutout_relabeled,6_contact.wav,contact
31,1765900766.6171544,0.6249480488527401,0.152478448982303,0.1799861405101327,0.6254136047461598,0.1523720465922067,0.1802280290614262,0.5508999966213591,0.7989359760990378,contact,contact,./data/7_contact.wav,WS3,B_empty,data/collected_data_runs_2025_12_16_v3_proper_data_to_use,7_contact.wav,contact
17,1765996484.0952508,0.6471702710749624,0.162478448982303,0.1799861405101327,0.6475838156227951,0.1623451993491473,0.1802489211319956,0.3291978878550062,0.8986675036684435,contact,contact,./data/8_contact.wav,WS3,C_full,data/collected_data_runs_2025_12_17_v2_workspace_3_squares_cutout_relabeled,8_contact.wav,contact
40,1765996130.2159588,0.6582813821860735,0.142478448982303,0.1799861405101327,0.658659987900735,0.1424374387777551,0.1802865103445273,0.2184361650756072,0.6995898979545214,no_contact,no_contact,./data/9_no_contact.wav,WS3,C_full,data/collected_data_runs_2025_12_17_v2_workspace_3_squares_cutout_relabeled,9_no_contact.wav,no_contact
