batch,frequency_band,freq_min_hz,freq_max_hz,classifier,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,n_samples,n_features
soft_finger_batch_1,ultra_low,20,200,random_forest,0.25,0.0,0.25,0.25,200,38
soft_finger_batch_1,ultra_low,20,200,svm_rbf,0.25,0.0,0.25,0.25,200,38
soft_finger_batch_1,ultra_low,20,200,logistic,0.25,0.0,0.25,0.25,200,38
soft_finger_batch_1,low_mid,200,500,random_forest,0.9,0.035355339059327376,0.85,0.95,200,38
soft_finger_batch_1,low_mid,200,500,svm_rbf,0.8150000000000001,0.04062019202317979,0.75,0.875,200,38
soft_finger_batch_1,low_mid,200,500,logistic,0.8550000000000001,0.018708286933869722,0.825,0.875,200,38
soft_finger_batch_1,mid,500,1000,random_forest,0.705,0.05099019513592784,0.625,0.775,200,38
soft_finger_batch_1,mid,500,1000,svm_rbf,0.6100000000000001,0.040620192023179805,0.55,0.675,200,38
soft_finger_batch_1,mid,500,1000,logistic,0.665,0.03391164991562635,0.6,0.7,200,38
soft_finger_batch_1,high_mid,1000,2000,random_forest,0.805,0.043011626335213125,0.75,0.875,200,38
soft_finger_batch_1,high_mid,1000,2000,svm_rbf,0.695,0.03999999999999999,0.65,0.75,200,38
soft_finger_batch_1,high_mid,1000,2000,logistic,0.7550000000000001,0.0678232998312527,0.625,0.8,200,38
soft_finger_batch_1,high,2000,4000,random_forest,0.825,0.04183300132670378,0.75,0.875,200,38
soft_finger_batch_1,high,2000,4000,svm_rbf,0.6299999999999999,0.057879184513951125,0.575,0.7,200,38
soft_finger_batch_1,high,2000,4000,logistic,0.74,0.040620192023179805,0.675,0.8,200,38
soft_finger_batch_1,ultra_high,4000,8000,random_forest,0.865,0.062449979983983994,0.75,0.925,200,38
soft_finger_batch_1,ultra_high,4000,8000,svm_rbf,0.6300000000000001,0.03674234614174766,0.6,0.7,200,38
soft_finger_batch_1,ultra_high,4000,8000,logistic,0.74,0.07681145747868606,0.625,0.825,200,38
soft_finger_batch_1,extended,8000,20000,random_forest,0.96,0.04062019202317979,0.9,1.0,200,38
soft_finger_batch_1,extended,8000,20000,svm_rbf,0.8899999999999999,0.033911649915626334,0.85,0.95,200,38
soft_finger_batch_1,extended,8000,20000,logistic,0.865,0.060415229867972854,0.8,0.975,200,38
soft_finger_batch_1,proposed,200,2000,random_forest,0.725,0.022360679774997918,0.7,0.75,200,38
soft_finger_batch_1,proposed,200,2000,svm_rbf,0.66,0.04358898943540674,0.6,0.725,200,38
soft_finger_batch_1,proposed,200,2000,logistic,0.7150000000000001,0.06442049363362565,0.6,0.8,200,38
soft_finger_batch_1,high_combined,2000,20000,random_forest,0.9649999999999999,0.02549509756796391,0.925,1.0,200,38
soft_finger_batch_1,high_combined,2000,20000,svm_rbf,0.875,0.03872983346207416,0.8,0.9,200,38
soft_finger_batch_1,high_combined,2000,20000,logistic,0.89,0.06041522986797285,0.8,0.975,200,38
soft_finger_batch_1,mid_combined,200,4000,random_forest,0.8150000000000001,0.03391164991562633,0.775,0.875,200,38
soft_finger_batch_1,mid_combined,200,4000,svm_rbf,0.625,0.0651920240520265,0.525,0.7,200,38
soft_finger_batch_1,mid_combined,200,4000,logistic,0.6199999999999999,0.0748331477354788,0.525,0.725,200,38
soft_finger_batch_1,full,200,20000,random_forest,0.975,0.02738612787525829,0.925,1.0,200,38
soft_finger_batch_1,full,200,20000,svm_rbf,0.93,0.04301162633521313,0.85,0.975,200,38
soft_finger_batch_1,full,200,20000,logistic,0.925,0.05,0.85,1.0,200,38
soft_finger_batch_1,full_20_20k,20,20000,random_forest,0.9450000000000001,0.03674234614174766,0.875,0.975,200,38
soft_finger_batch_1,full_20_20k,20,20000,svm_rbf,0.95,0.03162277660168377,0.9,0.975,200,38
soft_finger_batch_1,full_20_20k,20,20000,logistic,0.9349999999999999,0.060415229867972854,0.85,1.0,200,38
