n_features,accuracy,accuracy_std,selected_features
1,0.9400000000000001,0.04636809247747852,ultra_high_energy_ratio
2,0.99,0.012247448713915901,"ultra_high_energy_ratio, spectral_bandwidth"
3,0.99,0.012247448713915901,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio"
4,0.9799999999999999,0.010000000000000009,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio"
5,0.985,0.012247448713915901,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid"
6,0.985,0.020000000000000018,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio"
7,0.9800000000000001,0.018708286933869722,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness"
8,0.99,0.012247448713915901,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew"
9,0.985,0.020000000000000018,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate"
10,0.975,0.01581138830084191,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope"
11,0.99,0.012247448713915901,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope, damping_ratio"
12,0.99,0.012247448713915901,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope, damping_ratio, env_kurtosis"
13,0.985,0.020000000000000018,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope, damping_ratio, env_kurtosis, low_mid_ratio"
14,0.99,0.012247448713915901,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope, damping_ratio, env_kurtosis, low_mid_ratio, resonance_high_ratio"
15,0.9800000000000001,0.018708286933869722,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope, damping_ratio, env_kurtosis, low_mid_ratio, resonance_high_ratio, low_energy_ratio"
16,0.9850000000000001,0.012247448713915901,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope, damping_ratio, env_kurtosis, low_mid_ratio, resonance_high_ratio, low_energy_ratio, resonance_energy_ratio"
17,0.975,0.02738612787525829,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope, damping_ratio, env_kurtosis, low_mid_ratio, resonance_high_ratio, low_energy_ratio, resonance_energy_ratio, resonance_energy"
18,0.985,0.012247448713915901,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope, damping_ratio, env_kurtosis, low_mid_ratio, resonance_high_ratio, low_energy_ratio, resonance_energy_ratio, resonance_energy, zero_crossing_rate"
19,0.9800000000000001,0.018708286933869722,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope, damping_ratio, env_kurtosis, low_mid_ratio, resonance_high_ratio, low_energy_ratio, resonance_energy_ratio, resonance_energy, zero_crossing_rate, resonance_q_factor"
20,0.9800000000000001,0.018708286933869722,"ultra_high_energy_ratio, spectral_bandwidth, ultra_high_ratio, high_energy_ratio, spectral_centroid, mid_energy_ratio, spectral_flatness, env_skew, high_freq_decay_rate, high_freq_slope, damping_ratio, env_kurtosis, low_mid_ratio, resonance_high_ratio, low_energy_ratio, resonance_energy_ratio, resonance_energy, zero_crossing_rate, resonance_q_factor, env_min"
