feature_name,accuracy_without_feature,accuracy_std,accuracy_drop,feature_index
spectral_rolloff,0.985,0.02999999999999998,0.0050000000000000044,2
ultra_high_energy_ratio,0.985,0.020000000000000018,0.0050000000000000044,35
high_freq_slope,0.985,0.020000000000000018,0.0050000000000000044,15
high_freq_decay_rate,0.985,0.020000000000000018,0.0050000000000000044,16
time_to_peak,0.985,0.02999999999999998,0.0050000000000000044,21
burst_rms,0.985,0.02999999999999998,0.0050000000000000044,18
high_energy_ratio,0.985,0.020000000000000018,0.0050000000000000044,34
env_max,0.985,0.020000000000000018,0.0050000000000000044,26
env_std,0.985,0.02999999999999998,0.0050000000000000044,25
temporal_centroid,0.985,0.02999999999999998,0.0050000000000000044,23
spectral_flatness,0.99,0.012247448713915901,0.0,3
burst_peak,0.99,0.020000000000000018,0.0,19
spectral_contrast_1,0.99,0.012247448713915901,0.0,5
spectral_contrast_0,0.99,0.012247448713915901,0.0,4
burst_crest_factor,0.99,0.020000000000000018,0.0,20
resonance_skewness,0.99,0.012247448713915901,0.0,13
resonance_energy,0.99,0.012247448713915901,0.0,11
resonance_q_factor,0.99,0.012247448713915901,0.0,12
spectral_contrast_2,0.99,0.012247448713915901,0.0,6
spectral_contrast_3,0.99,0.012247448713915901,0.0,7
spectral_contrast_4,0.99,0.012247448713915901,0.0,8
resonance_peak_amp,0.99,0.012247448713915901,0.0,9
env_kurtosis,0.99,0.020000000000000018,0.0,29
env_skew,0.99,0.020000000000000018,0.0,28
damping_ratio,0.99,0.012247448713915901,0.0,14
ultra_high_ratio,0.99,0.012247448713915901,0.0,17
resonance_peak_freq,0.99,0.012247448713915901,0.0,10
env_min,0.99,0.020000000000000018,0.0,27
env_mean,0.99,0.020000000000000018,0.0,24
zero_crossing_rate,0.99,0.020000000000000018,0.0,22
low_mid_ratio,0.99,0.020000000000000018,0.0,37
resonance_high_ratio,0.99,0.020000000000000018,0.0,36
mid_energy_ratio,0.99,0.020000000000000018,0.0,33
spectral_bandwidth,0.9949999999999999,0.010000000000000009,-0.004999999999999893,1
spectral_centroid,0.9949999999999999,0.010000000000000009,-0.004999999999999893,0
resonance_energy_ratio,0.9949999999999999,0.010000000000000009,-0.004999999999999893,32
env_decay_rate,0.9949999999999999,0.010000000000000009,-0.004999999999999893,30
low_energy_ratio,0.9949999999999999,0.010000000000000009,-0.004999999999999893,31
