feature_index,gradient_saliency,integrated_gradients,gradient_std,integrated_gradients_std,feature_name
0,0.970873,0.94706726,0.32533786,0.48103184,spectral_centroid
1,1.4735187,1.4390829,0.6037754,0.91718125,spectral_bandwidth
2,0.10900923,0.0,0.08349778,0.0,spectral_rolloff
3,0.8282448,0.72039723,0.24280508,0.6017086,spectral_flatness
4,0.40241304,0.21091068,0.28378966,0.19654702,spectral_contrast_0
5,0.13810895,0.056360297,0.1056878,0.06605344,spectral_contrast_1
6,0.2523441,0.21224122,0.08294686,0.15219468,spectral_contrast_2
7,0.1968905,0.10596405,0.112062514,0.103948005,spectral_contrast_3
8,0.2712607,0.13050012,0.08807203,0.13853782,spectral_contrast_4
9,0.16688104,0.20797017,0.100230716,0.18593553,resonance_peak_amp
10,0.21399024,0.17662694,0.09770869,0.22272012,resonance_peak_freq
11,0.43579778,0.25149262,0.13759132,0.118850484,resonance_energy
12,0.3637708,0.17146812,0.11716786,0.17829874,resonance_q_factor
13,0.25499037,0.26048455,0.09004124,0.23974416,resonance_skewness
14,0.7599646,0.69120383,0.3024638,0.5367301,damping_ratio
15,0.3193559,0.35151526,0.19191262,0.36115676,high_freq_slope
16,0.227348,0.26979595,0.14584999,0.3016502,high_freq_decay_rate
17,0.83598405,0.81146634,0.16496874,0.41284704,ultra_high_ratio
18,0.3939869,0.30608335,0.1303167,0.22516617,burst_rms
19,0.16562292,0.12707336,0.061089396,0.15580888,burst_peak
20,0.29209015,0.21092093,0.19265608,0.1634651,burst_crest_factor
21,0.32083902,0.15736315,0.1468146,0.17218907,time_to_peak
22,0.29362345,0.12696652,0.087658904,0.07274773,zero_crossing_rate
23,0.18205038,0.17386064,0.16016263,0.20696974,temporal_centroid
24,0.54814607,0.3765925,0.1616833,0.2359998,env_mean
25,0.27424383,0.19553354,0.15554748,0.14609595,env_std
26,0.1740728,0.113474265,0.13674435,0.13969955,env_max
27,0.32255182,0.16968502,0.147548,0.10876782,env_min
28,0.32242823,0.25546807,0.19628291,0.31003898,env_skew
29,0.09876211,0.023409415,0.09410048,0.017138526,env_kurtosis
30,0.668294,0.12941234,0.23392262,0.09427094,env_decay_rate
31,0.13053124,0.07434948,0.06201224,0.036575858,low_energy_ratio
32,0.33614662,0.19374195,0.138959,0.1011752,resonance_energy_ratio
33,0.79624856,0.7508176,0.22100434,0.40864173,mid_energy_ratio
34,0.93398416,0.88126934,0.106842406,0.3998555,high_energy_ratio
35,0.8667843,0.85370624,0.33290687,0.5622062,ultra_high_energy_ratio
36,0.54075915,0.4238628,0.1442546,0.3065406,resonance_high_ratio
37,0.8665699,0.8429176,0.20746666,0.41949448,low_mid_ratio
